x	y
0.0000000000000000E+000	1.5999995316773108E+000
1.6949152542372881E-002	1.4720058092466832E+000
3.3898305084745763E-002	1.3399708199537426E+000
5.0847457627118647E-002	1.2077884918170361E+000
6.7796610169491525E-002	1.0813419711502512E+000
8.4745762711864403E-002	9.6731343174109119E-001
1.0169491525423729E-001	8.7127154701008258E-001
1.1864406779661017E-001	7.9599537525316566E-001
1.3559322033898305E-001	7.4076944567452707E-001
1.5254237288135594E-001	7.0232461291130621E-001
1.6949152542372881E-001	6.7644570526234726E-001
1.8644067796610170E-001	6.5923120617129682E-001
2.0338983050847459E-001	6.4769785462490503E-001
2.2033898305084745E-001	6.3976186757463360E-001
2.3728813559322035E-001	6.3406886898020753E-001
2.5423728813559321E-001	6.2975938600946868E-001
2.7118644067796610E-001	6.2629981866197071E-001
2.8813559322033899E-001	6.2336203747165286E-001
3.0508474576271188E-001	6.2074387606207138E-001
3.2203389830508472E-001	6.1832242972108886E-001
3.3898305084745761E-001	6.1602196000710374E-001
3.5593220338983050E-001	6.1379676209357625E-001
3.7288135593220340E-001	6.1161864829524126E-001
3.8983050847457629E-001	6.0947060709211320E-001
4.0677966101694918E-001	6.0734189048692855E-001
4.2372881355932202E-001	6.0522554642477211E-001
4.4067796610169491E-001	6.0311643510713808E-001
4.5762711864406780E-001	6.0101013071656118E-001
4.7457627118644069E-001	5.9890210207082417E-001
4.9152542372881358E-001	5.9678707677530229E-001
5.0847457627118642E-001	5.9465873408962300E-001
5.2542372881355937E-001	5.9250921202057982E-001
5.4237288135593220E-001	5.9032906261390161E-001
5.5932203389830504E-001	5.8810679684769673E-001
5.7627118644067798E-001	5.8582897475171147E-001
5.9322033898305082E-001	5.8347974984888884E-001
6.1016949152542377E-001	5.8104098994063347E-001
6.2711864406779660E-001	5.7849180016175605E-001
6.4406779661016944E-001	5.7580857529075358E-001
6.6101694915254239E-001	5.7296452061120207E-001
6.7796610169491522E-001	5.6992953168767302E-001
6.9491525423728817E-001	5.6666985602368758E-001
7.1186440677966101E-001	5.6314763670745582E-001
7.2881355932203384E-001	5.5932103831073465E-001
7.4576271186440679E-001	5.5514323083030459E-001
7.6271186440677963E-001	5.5056324627454811E-001
7.7966101694915257E-001	5.4552451570516558E-001
7.9661016949152541E-001	5.3996594644182594E-001
8.1355932203389836E-001	5.3382105808300329E-001
8.3050847457627119E-001	5.2701792814975645E-001
8.4745762711864403E-001	5.1947940687103555E-001
8.6440677966101698E-001	5.1112276131996581E-001
8.8135593220338981E-001	5.0185540070658663E-001
8.9830508474576276E-001	4.9157994744088696E-001
9.1525423728813560E-001	4.8017581767934403E-001
9.3220338983050843E-001	4.6750166453012826E-001
9.4915254237288138E-001	4.5337013935509896E-001
9.6610169491525422E-001	4.3753117290259202E-001
9.8305084745762716E-001	4.1974070326470619E-001
1.0000000000000000E+000	4.0000053770372807E-001
