x	y
0.0000000000000000E+000	1.5999993659431568E+000
1.6949152542372881E-002	1.4847507094142793E+000
3.3898305084745763E-002	1.3668696720619338E+000
5.0847457627118647E-002	1.2526788252290053E+000
6.7796610169491525E-002	1.1516419862717073E+000
8.4745762711864403E-002	1.0730639098920347E+000
1.0169491525423729E-001	1.0217707068808568E+000
1.1864406779661017E-001	9.9588443006285521E-001
1.3559322033898305E-001	9.8868357909980009E-001
1.5254237288135594E-001	9.9244618532756801E-001
1.6949152542372881E-001	1.0010763784609449E+000
1.8644067796610170E-001	1.0107418827453121E+000
2.0338983050847459E-001	1.0194438394341121E+000
2.2033898305084745E-001	1.0263751898860747E+000
2.3728813559322035E-001	1.0314060727788934E+000
2.5423728813559321E-001	1.0347445627065379E+000
2.7118644067796610E-001	1.0367319292521295E+000
2.8813559322033899E-001	1.0377272956657502E+000
3.0508474576271188E-001	1.0380489053581488E+000
3.2203389830508472E-001	1.0379501338114763E+000
3.3898305084745761E-001	1.0376162154054027E+000
3.5593220338983050E-001	1.0371718331421871E+000
3.7288135593220340E-001	1.0366935265735153E+000
3.8983050847457629E-001	1.0362227909671047E+000
4.0677966101694918E-001	1.0357778301440357E+000
4.2372881355932202E-001	1.0353629429925642E+000
4.4067796610169491E-001	1.0349753931603174E+000
4.5762711864406780E-001	1.0346100442436932E+000
4.7457627118644069E-001	1.0342621769142895E+000
4.9152542372881358E-001	1.0339290033957576E+000
5.0847457627118642E-001	1.0336102555785602E+000
5.2542372881355937E-001	1.0333081915998834E+000
5.4237288135593220E-001	1.0330272038234047E+000
5.5932203389830504E-001	1.0327731710927710E+000
5.7627118644067798E-001	1.0325525948338612E+000
5.9322033898305082E-001	1.0323715798909110E+000
6.1016949152542377E-001	1.0322347026456935E+000
6.2711864406779660E-001	1.0321439374463337E+000
6.4406779661016944E-001	1.0320979031495723E+000
6.6101694915254239E-001	1.0320919212033810E+000
6.7796610169491522E-001	1.0321195468604492E+000
6.9491525423728817E-001	1.0321764006128136E+000
7.1186440677966101E-001	1.0322671289136618E+000
7.2881355932203384E-001	1.0324159268507238E+000
7.4576271186440679E-001	1.0326801689395710E+000
7.6271186440677963E-001	1.0331647515485087E+000
7.7966101694915257E-001	1.0340316364825470E+000
7.9661016949152541E-001	1.0354943940618637E+000
8.1355932203389836E-001	1.0377811645274087E+000
8.3050847457627119E-001	1.0410426561450588E+000
8.4745762711864403E-001	1.0451752578554347E+000
8.6440677966101698E-001	1.0495274936145149E+000
8.8135593220338981E-001	1.0524630323028819E+000
8.9830508474576276E-001	1.0507720011301092E+000
9.1525423728813560E-001	1.0389609004163103E+000
9.3220338983050843E-001	1.0085210485421499E+000
9.4915254237288138E-001	9.4739544488788197E-001
9.6610169491525422E-001	8.3993743466493798E-001
9.8305084745762716E-001	6.6728274968345880E-001
1.0000000000000000E+000	4.0001533903982539E-001
