x	y
0.0000000000000000E+000	1.5999999153829318E+000
1.6949152542372881E-002	1.5856060071716664E+000
3.3898305084745763E-002	1.5711333386728217E+000
5.0847457627118647E-002	1.5565807408911307E+000
6.7796610169491525E-002	1.5419469091597431E+000
8.4745762711864403E-002	1.5272303750523286E+000
1.0169491525423729E-001	1.5124294802766129E+000
1.1864406779661017E-001	1.4975423703520261E+000
1.3559322033898305E-001	1.4825669840043425E+000
1.5254237288135594E-001	1.4675010449330350E+000
1.6949152542372881E-001	1.4523420542792027E+000
1.8644067796610170E-001	1.4370872828132633E+000
2.0338983050847459E-001	1.4217337627966609E+000
2.2033898305084745E-001	1.4062782786257904E+000
2.3728813559322035E-001	1.3907173568097944E+000
2.5423728813559321E-001	1.3750472543459256E+000
2.7118644067796610E-001	1.3592639459835862E+000
2.8813559322033899E-001	1.3433631097161025E+000
3.0508474576271188E-001	1.3273401107542819E+000
3.2203389830508472E-001	1.3111899835988483E+000
3.3898305084745761E-001	1.2949074121849331E+000
3.5593220338983050E-001	1.2784867079598150E+000
3.7288135593220340E-001	1.2619217855950879E+000
3.8983050847457629E-001	1.2452061363779061E+000
4.0677966101694918E-001	1.2283327987380341E+000
4.2372881355932202E-001	1.2112943260592326E+000
4.4067796610169491E-001	1.1940827510269310E+000
4.5762711864406780E-001	1.1766895466578451E+000
4.7457627118644069E-001	1.1591055831097867E+000
4.9152542372881358E-001	1.1413210802662301E+000
5.0847457627118642E-001	1.1233255551044445E+000
5.2542372881355937E-001	1.1051077634779352E+000
5.4237288135593220E-001	1.0866556353116585E+000
5.5932203389830504E-001	1.0679562021640923E+000
5.7627118644067798E-001	1.0489955162359010E+000
5.9322033898305082E-001	1.0297585586331288E+000
6.1016949152542377E-001	1.0102291361374249E+000
6.2711864406779660E-001	9.9038976242538990E-001
6.4406779661016944E-001	9.7022152321528987E-001
6.6101694915254239E-001	9.4970391828648504E-001
6.7796610169491522E-001	9.2881467999025680E-001
6.9491525423728817E-001	9.0752955636642285E-001
7.1186440677966101E-001	8.8582205815459880E-001
7.2881355932203384E-001	8.6366314988501702E-001
7.4576271186440679E-001	8.4102088254312124E-001
7.6271186440677963E-001	8.1785993454708494E-001
7.7966101694915257E-001	7.9414105273594493E-001
7.9661016949152541E-001	7.6982033616803358E-001
8.1355932203389836E-001	7.4484833799195538E-001
8.3050847457627119E-001	7.1916888251550648E-001
8.4745762711864403E-001	6.9271752744495163E-001
8.6440677966101698E-001	6.6541947275982316E-001
8.8135593220338981E-001	6.3718671785393721E-001
8.9830508474576276E-001	6.0791404024717077E-001
9.1525423728813560E-001	5.7747320711436168E-001
9.3220338983050843E-001	5.4570434917754496E-001
9.4915254237288138E-001	5.1240258803694250E-001
9.6610169491525422E-001	4.7729644850796427E-001
9.8305084745762716E-001	4.4001089996633480E-001
1.0000000000000000E+000	4.0000024524869993E-001
