x	y
0.0000000000000000E+000	-2.3931124369844442E-007
1.6949152542372881E-002	-3.7530962932788070E-002
3.3898305084745763E-002	-6.9263873843621260E-002
5.0847457627118647E-002	-9.5643404496950968E-002
6.7796610169491525E-002	-1.1709844014111706E-001
8.4745762711864403E-002	-1.3404412272806349E-001
1.0169491525423729E-001	-1.4688226995052520E-001
1.1864406779661017E-001	-1.5600072676162546E-001
1.3559322033898305E-001	-1.6177212452897596E-001
1.5254237288135594E-001	-1.6455229675982466E-001
1.6949152542372881E-001	-1.6467868476167893E-001
1.8644067796610170E-001	-1.6246889565600162E-001
2.0338983050847459E-001	-1.5821959287885690E-001
2.2033898305084745E-001	-1.5220578511358304E-001
2.3728813559322035E-001	-1.4468055481513906E-001
2.5423728813559321E-001	-1.3587521391527610E-001
2.7118644067796610E-001	-1.2599983616828320E-001
2.8813559322033899E-001	-1.1524411372540648E-001
3.0508474576271188E-001	-1.0377845164071929E-001
3.2203389830508472E-001	-9.1755243481493443E-002
3.3898305084745761E-001	-7.9310247280126936E-002
3.5593220338983050E-001	-6.6564020302378221E-002
3.7288135593220340E-001	-5.3623356372332662E-002
3.8983050847457629E-001	-4.0582703853163364E-002
4.0677966101694918E-001	-2.7525534297413470E-002
4.2372881355932202E-001	-1.4525655320265521E-002
4.4067796610169491E-001	-1.6484574121896692E-003
4.5762711864406780E-001	1.1047902625067571E-002
4.7457627118644069E-001	2.3511380415187428E-002
4.9152542372881358E-001	3.5694978274087553E-002
5.0847457627118642E-001	4.7555728957007784E-002
5.2542372881355937E-001	5.9053721474125888E-002
5.4237288135593220E-001	7.0151162394440927E-002
5.5932203389830504E-001	8.0811466028077039E-002
5.7627118644067798E-001	9.0998368748846384E-002
5.9322033898305082E-001	1.0067506225740509E-001
6.1016949152542377E-001	1.0980334397541310E-001
6.2711864406779660E-001	1.1834278098139654E-001
6.4406779661016944E-001	1.2624988895753136E-001
6.6101694915254239E-001	1.3347732433005921E-001
6.7796610169491522E-001	1.3997309431602611E-001
6.9491525423728817E-001	1.4567978516982474E-001
7.1186440677966101E-001	1.5053381634744747E-001
7.2881355932203384E-001	1.5446472361328684E-001
7.4576271186440679E-001	1.5739448145271365E-001
7.6271186440677963E-001	1.5923687145624113E-001
7.7966101694915257E-001	1.5989690925066813E-001
7.9661016949152541E-001	1.5927034136656176E-001
8.1355932203389836E-001	1.5724322639666455E-001
8.3050847457627119E-001	1.5369161751865712E-001
8.4745762711864403E-001	1.4848136221833455E-001
8.6440677966101698E-001	1.4146804227095172E-001
8.8135593220338981E-001	1.3249707132377853E-001
8.9830508474576276E-001	1.2140397798539844E-001
9.1525423728813560E-001	1.0801489380853195E-001
9.3220338983050843E-001	9.2147275351756971E-002
9.4915254237288138E-001	7.3610882777016079E-002
9.6610169491525422E-001	5.2209039181791761E-002
9.8305084745762716E-001	2.7740197958251268E-002
1.0000000000000000E+000	1.7372156690039707E-007
