x	y
0.0000000000000000E+000	5.5417635245688032E-006
1.6949152542372881E-002	2.6244656076249834E-001
3.3898305084745763E-002	3.1947774940693457E-001
5.0847457627118647E-002	2.3184290070422672E-001
6.7796610169491525E-002	1.1220436657358375E-001
8.4745762711864403E-002	3.2234471633727536E-002
1.0169491525423729E-001	-3.6696707567751342E-003
1.1864406779661017E-001	-1.3341618421466786E-002
1.3559322033898305E-001	-1.1489314310971383E-002
1.5254237288135594E-001	-6.4010035680812242E-003
1.6949152542372881E-001	-1.8600269428023831E-003
1.8644067796610170E-001	9.4093630353277657E-004
2.0338983050847459E-001	2.0877012403112188E-003
2.2033898305084745E-001	2.1272651190677705E-003
2.3728813559322035E-001	1.6251198953157169E-003
2.5423728813559321E-001	9.8684614492375810E-004
2.7118644067796610E-001	4.3438951335265436E-004
2.8813559322033899E-001	4.7938309577649818E-005
3.0508474576271188E-001	-1.7706168460854187E-004
3.2203389830508472E-001	-2.8306672506877369E-004
3.3898305084745761E-001	-3.1961850501357195E-004
3.5593220338983050E-001	-3.2700282749881514E-004
3.7288135593220340E-001	-3.3076406101585198E-004
3.8983050847457629E-001	-3.4236629146203689E-004
4.0677966101694918E-001	-3.6307050319520870E-004
4.2372881355932202E-001	-3.8836662433932461E-004
4.4067796610169491E-001	-4.1177255569946927E-004
4.5762711864406780E-001	-4.2737478078506871E-004
4.7457627118644069E-001	-4.3111292746225092E-004
4.9152542372881358E-001	-4.2111999292285349E-004
5.0847457627118642E-001	-3.9745748708959965E-004
5.2542372881355937E-001	-3.6160910962493791E-004
5.4237288135593220E-001	-3.1591709894778647E-004
5.5932203389830504E-001	-2.6311867855298193E-004
5.7627118644067798E-001	-2.0597781922073342E-004
5.9322033898305082E-001	-1.4705719263839327E-004
6.1016949152542377E-001	-8.8558735187572985E-005
6.2711864406779660E-001	-3.2267399675070655E-005
6.4406779661016944E-001	2.0477697192464924E-005
6.6101694915254239E-001	6.8749022205306945E-005
6.7796610169491522E-001	1.1200452677439397E-004
6.9491525423728817E-001	1.5001089731885115E-004
7.1186440677966101E-001	1.8267264073657422E-004
7.2881355932203384E-001	2.0957065101875563E-004
7.4576271186440679E-001	2.2908934400351776E-004
7.6271186440677963E-001	2.3757350201715182E-004
7.7966101694915257E-001	2.3058131289738652E-004
7.9661016949152541E-001	2.1115976471956910E-004
8.1355932203389836E-001	2.1248489501311896E-004
8.3050847457627119E-001	3.3706224629216256E-004
8.4745762711864403E-001	7.8717003930158164E-004
8.6440677966101698E-001	1.7898988976472192E-003
8.8135593220338981E-001	3.1928708898919115E-003
8.9830508474576276E-001	3.3951505733345998E-003
9.1525423728813560E-001	-2.6080446791394776E-003
9.3220338983050843E-001	-2.5516516800897639E-002
9.4915254237288138E-001	-8.1876431992415233E-002
9.6610169491525422E-001	-1.8468354024524467E-001
9.8305084745762716E-001	-2.9398649768755775E-001
1.0000000000000000E+000	-5.0644749411585342E-004
